No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
386,2,60代,1,1,2,1,5,10,2,3,1.875,1,0
387,1,40代,7,1,3,1,6,02,2,4,1,4,1
388,1,40代,7,1,3,1,6,02,2,14,1,4,1
389,2,20代,2,2,2,1,1,06,3,3,1,4,1
390,1,60代,1,1,2,1,9,10,2,12,1.108695652,1,1
391,1,30代,2,2,4,1,3,02,3,6,2.25,1,0
392,2,30代,5,1,2,1,2,02,2,11,6.6,2,0
393,1,60代,1,1,2,9,6,02,2,18,3.5,1,0
394,2,70代,2,1,2,1,0,04,3,3,5.514285714,1,0
395,1,40代,5,1,4,1,4,02,3,4,1.39,1,1
396,1,40代,5,1,4,1,4,02,3,5,1.215827338,1,1
397,2,20代,2,2,4,1,1,02,3,4,1,4,0
398,2,30代,5,1,2,1,4,02,3,11,3.846153846,2,0
399,2,30代,1,1,2,1,3,02,3,6,1.9375,1,0
400,1,50代,5,2,2,2,1,07,3,13,2,1,1
401,2,30代,5,1,2,1,3,02,3,6,3.5,1,0
402,2,50代,2,1,4,1,1,07,2,10,1.5,1,0
403,2,20代,2,2,4,1,1,02,2,7,4.5,1,0
404,1,50代,1,1,4,1,7,02,3,10,2.923076923,1,0
405,2,30代,5,2,1,2,2,12,3,5,1.3,1,1
406,1,40代,1,1,4,1,9,02,2,12,2.538461538,1,0
407,1,30代,1,2,1,2,3,03,2,4,2,1,0
409,2,50代,5,2,1,1,3,02,2,0,4.166666667,1,0
410,2,20代,2,2,3,1,0,06,2,0,1.725,1,0
411,1,20代,7,2,1,2,0,11,3,2,1,4,0
412,1,30代,5,2,1,2,2,03,3,13,2.666666667,1,0
413,1,50代,1,1,3,9,6,02,2,0,1.5,1,0
414,2,20代,7,2,1,2,1,06,3,1,1,4,0
415,2,20代,2,2,3,1,1,02,3,4,1,4,0
416,1,40代,7,1,3,1,6,02,2,14,1,4,1
417,2,20代,5,1,2,1,1,02,2,11,7,1,0
418,2,30代,5,1,4,1,0,04,3,2,2.625,1,0
419,1,30代,2,2,3,1,2,02,3,0,1.5,1,1
420,1,40代,1,1,4,1,5,02,2,2,2.333333333,1,0
421,1,40代,1,1,4,1,4,02,2,0,2.511111111,1,0
422,2,50代,2,2,1,1,3,02,2,7,1.45,1,1
423,2,50代,2,2,1,1,3,02,2,0,1.206896552,1,1
425,2,50代,2,1,4,9,0,04,2,2,2.466666667,1,0
426,1,30代,7,1,2,2,2,02,2,1,1,4,0
427,1,40代,5,2,1,9,2,02,2,8,2.166666667,1,0
428,2,20代,4,2,3,1,0,06,3,1,2.25,1,0
429,1,20代,2,2,1,1,1,02,3,4,1.76,1,0
430,2,30代,2,1,3,1,0,04,3,7,2.428571429,1,0
431,2,50代,2,1,4,1,1,07,3,10,1.9,1,1
432,2,20代,7,2,4,2,2,06,3,4,1.1,1,1
433,2,30代,5,1,2,0,1,05,3,11,4.333333333,1,0
434,1,20代,2,2,3,1,1,02,3,4,1.26,1,0
436,2,20代,7,2,1,2,2,02,3,1,2.5,1,0
437,2,50代,2,1,2,1,2,02,3,18,5.333333333,1,0
438,1,60代,1,1,2,1,2,02,3,3,2.666666667,1,0
439,2,30代,7,1,2,1,2,02,3,1,2.666666667,1,0
440,2,20代,7,2,1,2,1,02,3,7,1,4,0
442,2,20代,7,2,3,2,0,06,3,13,1,4,0
443,1,30代,2,2,4,1,2,02,3,4,2,1,0
444,2,20代,2,2,3,1,1,02,3,5,1,4,1
446,2,20代,2,2,4,1,1,02,3,10,2.333333333,1,0
447,1,20代,2,2,3,1,2,02,3,1,1,4,0
448,2,20代,2,2,3,1,0,06,3,0,2.5,1,0
449,1,20代,7,2,1,2,0,06,3,0,2.5,1,1
450,2,10代,7,2,1,2,0,06,3,4,1,4,0
451,2,50代,1,1,3,1,1,05,3,10,1.5,1,1
452,1,30代,3,1,2,1,3,03,3,1,1,4,0
453,1,30代,7,1,4,1,4,02,3,6,1.633333333,1,0
454,2,30代,1,1,4,1,5,02,2,0,1.875,1,1
455,2,60代,4,2,1,0,1,02,2,15,4.5,1,0
456,2,60代,1,2,1,2,2,02,2,2,2.575,1,0
457,1,60代,5,2,1,2,3,02,2,3,1.76,1,0
458,1,60代,1,1,2,1,3,02,2,6,6.875,2,0
459,1,30代,1,1,4,1,6,03,2,13,7.142857143,2,1
460,2,60代,2,1,3,1,0,04,2,0,1.98,1,1
461,2,20代,2,2,3,1,0,06,3,1,2,2,0
462,2,60代,2,2,2,1,1,08,2,14,2.818181818,1,0
